Protein	Pannzer
WP_003513964.1	Alkyl hydroperoxide reductase C(0.665199057664)
WP_003517198.1	NADPH-dependent FMN reductase(0.468072638652)
WP_003518631.1	Carbamoyl-phosphate synthase large subunit(0.546581193776)
WP_003518979.1	Dipeptidyl aminopeptidase(0.365889016292)
WP_003515797.1	Urea-binding protein(0.607605439285)
WP_003513825.1	Acetylornithine aminotransferase(0.58853671242)
WP_003518355.1	Lipoprotein LpqB, GerMN domain-containing protein(0.527561253871)
WP_003512132.1	RNA polymerase sporulation specific sigma factor SigF(0.411373267895)
WP_003515795.1	Regulator of RpoS(0.281304722525)
WP_037294696.1	Oligopeptide transport system permease protein OppC(0.363668528669)
WP_003516527.1	Phenylacetate-coenzyme A ligase(0.632112770365)
WP_003514117.1	O-acetyl-ADP-ribose deacetylase(0.58433322624)
WP_003518642.1	Uracil phosphoribosyltransferase / pyrimidine operon regulatory protein pyrr(0.652997599377)
WP_003515752.1	prepilin-type cleavage/methylation domain-containing protein [Ruminiclostridium thermocellum](0.294567433546)
WP_003512662.1	Predicted transcriptional regulator(0.507617841742)
WP_003516018.1	Putative terminase ATPase subunit(0.792829708554)
WP_003518396.1	GHL10 domain-containing protein(0.494784731154)
WP_003512660.1	NADP-specific glutamate dehydrogenase(0.547543790392)
WP_003517011.1	Chemotaxis regulator-transmits chemoreceptor signals to flagelllar motor components CheY(0.367002923169)
WP_003512890.1	dTDP-glucose 4,6-dehydratase RfbB2(0.396343351863)
WP_003517978.1	Flagellar biosynthetic protein FliP(0.590157099761)
WP_003512907.1	Proposed peptidoglycan lipid II flippase MurJ(0.58120728449)
WP_003514656.1	30S ribosomal protein S5(0.534096272775)
WP_003515994.1	NAD(P)HX epimerase / NAD(P)HX dehydratase(0.709207970987)
ADU73149.1	DnaD and phage-associated region(0.552482967472)
WP_003516246.1	Response regulators consisting of a CheY-like receiver domain and an HD-GYP domain(0.668308021296)
WP_003512057.1	Negative regulator of genetic competence MecA(0.580189846024)
WP_003518311.1	ABC transporter ATP-binding protein [Ruminiclostridium thermocellum](0.335117793034)
WP_003517537.1	Cofactor-independent phosphoglycerate mutase(0.482025429061)
WP_003518361.1	Anti-sigma-I factor RsgI7(0.790918305397)
WP_003518730.1	ABC transporter(0.317397736925)
WP_003515996.1	5-methylcytosine-specific restriction protein A(0.457282692412)
WP_003517908.1	RNA polymerase sigma factor(0.421190488717)
WP_003516032.1	Siphovirus-type tail component(0.48148222697)
WP_003513455.1	type I-B CRISPR-associated protein Cas7/Cst2/DevR [Ruminiclostridium thermocellum](0.785711937315)
WP_003514207.1	Transcriptional pleiotropic regulator of transition state genes(0.567208487966)
WP_003516251.1	Site-specific tyrosine recombinase XerC(0.424728286919)
WP_003511534.1	Sporulation protein YyaC(0.784405205104)
WP_003517023.1	Heme chaperone HemW(0.530568224366)
WP_003519419.1	copper amine oxidase [Ruminiclostridium thermocellum](0.754747558425)
WP_003518511.1	Cell wall/surface repeat protein(0.360252906797)
WP_003516249.1	M18 family aminopeptidase(0.717860104042)
WP_003514792.1	RNA 2'-phosphotransferase(0.786996979261)
WP_003519074.1	dockerin [Ruminiclostridium thermocellum](0.637499859025)
WP_003519503.1	Cell division membrane protein-like protein(0.783446369293)
WP_003512200.1	50S ribosomal protein L21(0.540706834764)
WP_003519028.1	Manganese containing catalase(0.558951348717)
WP_003516913.1	NiFe hydrogenase nickel incorporation-associated protein HypB(0.660823120726)
WP_003517044.1	Late competence protein ComC(0.588983434503)
WP_003514209.1	Ribosomal RNA small subunit methyltransferase I(0.491167420334)
WP_003512864.1	Ribosome-associated heat shock protein Heat shock protein 15(0.425797569555)
WP_003516443.1	Peptidoglycan-binding lysin domain(0.357042712763)
WP_003514213.1	Ferredoxin(0.569325235079)
WP_003517046.1	Holin BlyA family(0.659955981104)
WP_003519058.1	NADH-quinone oxidoreductase subunit E(0.542066712746)
WP_003516259.1	Chorismate synthase(0.538842299472)
WP_003512034.1	YtxH domain-containing protein [Ruminiclostridium thermocellum](0.41911636587)
WP_003517539.1	HD-GYP domain protein(0.399112471336)
WP_003516509.1	Gamma-DL-glutamyl hydrolase(0.327588024826)
WP_003514215.1	Stage 0 sporulation protein YaaT(0.605770600229)
WP_003512814.1	Stage II sporulation serine phosphatase for sigma-F activation(0.462662763349)
WP_003516416.1	RnfABCDGE type electron transport complex subunit E(0.690213915382)
WP_003513013.1	ABC-type nitrate/sulfonate/bicarbonate transport system ATPase component(0.398242750048)
WP_003512197.1	Radical SAM-linked protein(0.484936560273)
WP_003511951.1	Hydroxylamine reductase(0.711134226893)
WP_003516952.1	Sugar fermentation stimulation protein A(0.691773305765)
WP_003511632.1	Glycosidase(0.566481051172)
WP_003518489.1	Competence protein F homolog(0.500566225336)
WP_003512886.1	ATP-dependent carboxylate-amine ligase domain protein ATP-grasp(0.347562782287)
WP_003518977.1	Flagellar biosynthesis protein FlaG(0.748429860866)
WP_003513009.1	Adenylate cyclase(0.477110210212)
WP_003512069.1	Rod shape-determining protein MreD(0.383260418474)
WP_003514217.1	DUF327 domain-containing protein [Ruminiclostridium thermocellum](0.774707607739)
WP_003512816.1	tetratricopeptide repeat protein [Ruminiclostridium thermocellum](0.273090500608)
WP_003514326.1	ATP-dependent Clp protease ATP-binding subunit ClpX(0.526385873919)
WP_003512484.1	Chlorophenol reductase(0.77233826013)
WP_003512038.1	Amidase domain(0.531736376445)
WP_003513306.1	Stage 0 sporulation protein J(0.539663570098)
WP_003516470.1	tRNA modification GTPase MnmE(0.534085534407)
WP_003517137.1	Zinc ribbon protein(0.567776730677)
WP_003519383.1	S-layer homology domain-containing protein [Ruminiclostridium thermocellum](0.36785657692)
WP_003517030.1	Stage II sporulation protein P(0.560003592587)
WP_003519292.1	UvrABC system protein A(0.519741592755)
WP_003517986.1	C-di-GMP-binding flagellar brake protein YcgR(0.368686456896)
WP_003519385.1	Bis(5'-nucleosyl)-tetraphosphatase(0.472559071302)
WP_003513007.1	Long-chain primary alcohol dehydrogenase AdhA(0.43086388852)
WP_003518220.1	Homoserine dehydrogenase(0.547259213809)
WP_003517502.1	Sporulation integral membrane protein YlbJ(0.583569078662)
WP_003520688.1	SHOCT domain-containing protein(0.687896454075)
WP_003515799.1	High-affinity branched-chain amino acid transport system permease protein LivH(0.32897458911)
WP_003512860.1	RNA binding protein, contains ribosomal protein S1 domain(0.491438577484)
WP_003516462.1	copper amine oxidase [Ruminiclostridium thermocellum](0.496905267897)
WP_003513001.1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase(0.507868411286)
WP_003517785.1	Predicted transcriptional regulator(0.362357301217)
WP_003513902.1	Carboxy-terminal processing protease CtpB(0.442482017412)
WP_003513023.1	Glucose-1-phosphate cytidylyltransferase RfbF(0.784006263678)
ADU75651.1	Mu-like prophage protein Com(0.476525722547)
WP_003513220.1	Predicted metal-dependent enzyme(0.792755967351)
WP_003512862.1	Spore cortex biosynthesis protein YabQ(0.570110015078)
WP_003513114.1	glutamyl-tRNA reductase [Ruminiclostridium thermocellum](0.605331733587)
WP_003516112.1	Putative polymerase with PALM domain, HD hydrolase domain and Zn ribbon(0.627045740169)
WP_003515480.1	Phosphoesterase(0.511048615175)
WP_003517897.1	Small basic protein(0.786925898705)
WP_003515324.1	Nicotinamide mononucleotide transporter PnuC(0.476128693752)
WP_003517972.1	CheC, inhibitor of MCP methylation / FliN fusion protein(0.625632096852)
WP_003520919.1	dephospho-CoA kinase [Ruminiclostridium thermocellum](0.562468640824)
WP_003514226.1	Thiamine-binding protein(0.634868991569)
WP_003516991.1	Cyclic lactone autoinducer peptide(0.508799098572)
WP_003513572.1	Flagellar hook-associated protein FlgL(0.609093891067)
WP_003515322.1	HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes(0.575938533479)
WP_003520674.1	Phage minor structural protein, N-terminal region(0.783369744611)
ADU74599.1	Tryptophan--tRNA ligase(0.601745787357)
WP_003515928.1	penicillin-binding protein 1A [Ruminiclostridium thermocellum](0.390792651979)
WP_003516759.1	Collagenase and related proteases(0.517029381502)
WP_003514228.1	ABC transporter periplasmic subunit(0.36636674876)
WP_003515309.1	Methylcobalamin methyltransferase MMP0830(0.647462529448)
WP_003516777.1	N-glycosylase/DNA lyase(0.57123164884)
WP_003518492.1	Flagellar hook-associated protein FlgK(0.37449799567)
WP_003514219.1	Orn/Lys/Arg decarboxylase major region(0.664515141764)
WP_003518747.1	Mg2+ and Co2+ transporter CorB(0.536469151685)
WP_011837926.1	RSAM-modified six-cysteine peptide SCIFF(0.799989482746)
WP_003514552.1	Ribosome hibernation promoting factor(0.574929609071)
WP_003512181.1	DUF523 domain-containing protein(0.755128739048)
ADU73379.1	Alanine racemase(0.51837479545)
WP_003514890.1	Superoxide dismutase(0.531643441703)
WP_003517151.1	Type II secretion system protein GspE(0.407555646333)
WP_003513159.1	tRNA-specific adenosine deaminase(0.483683586196)
WP_003517590.1	ABC transporter integral membrane protein(0.332876516316)
WP_003519415.1	HTH-type transcriptional repressor YtrA(0.36781808987)
WP_003517906.1	Sporulation sigma-E factor-processing peptidase(0.784127603548)
WP_003513157.1	Methionyl-tRNA synthetase(0.708674360295)
WP_003513619.1	flagellar hook protein FliD [Ruminiclostridium thermocellum](0.380540478495)
WP_003516440.1	ATPase AAA(0.315477350586)
WP_003519417.1	Polyferredoxin(0.360485101724)
WP_003518575.1	Meso-diaminopimelate D-dehydrogenase(0.785918812487)
WP_003518663.1	copper amine oxidase [Ruminiclostridium thermocellum](0.691678286907)
WP_003516110.1	Serine-type D-Ala-D-Ala carboxypeptidase(0.564985004685)
WP_003515482.1	Ppx/GppA phosphatase(0.411492535302)
WP_003517149.1	Prepilin leader peptidase/N-methyltransferase(0.508768736949)
WP_003512710.1	EAL domain-containing protein(0.300307790644)
WP_003514691.1	tRNA pseudouridine synthase A(0.48831017276)
WP_003512963.1	ATP synthase subunit alpha(0.493609818494)
WP_003515677.1	Vanomycin resistance protein VanB(0.537693601033)
WP_003516418.1	Motility protein B(0.338028993077)
WP_003515313.1	N-acetylmuramoyl-L-alanine amidase(0.551999847769)
WP_003517055.1	Flp pilus assembly protein TadC(0.371176482276)
WP_003519477.1	copper amine oxidase [Ruminiclostridium thermocellum](0.60179777396)
WP_003517750.1	Short-chain dehydrogenase/reductase SDR(0.30384737367)
WP_003513566.1	Flagellar biosynthesis protein FlgN(0.45440573749)
WP_003514882.1	Glucuronoxylanase XynC(0.794957833552)
WP_003519056.1	Iron only hydrogenase large subunit C-terminal domain(0.417641744076)
WP_003513611.1	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [Ruminiclostridium thermocellum](0.605672621969)
WP_003516448.1	Formate--tetrahydrofolate ligase(0.736787003222)
WP_003517398.1	Aspartate--tRNA ligase(0.654634189478)
WP_003518879.1	Probable membrane transporter protein(0.54482333541)
WP_003518677.1	Cellooligosaccharide ABC transporter membrane protein(0.754477303158)
WP_003517163.1	Nodulation efficiency protein NfeD(0.388495819341)
WP_003517145.1	Endonuclease IV(0.762394626777)
WP_003515290.1	Cystathionine beta-lyase PatB(0.491721237303)
WP_003515663.1	Magnesium chelatase(0.332620591875)
WP_003512987.1	Predicted divalent heavy-metal cations transporter(0.423277291462)
WP_003512183.1	HPrNtr domain-containing protein(0.712378418566)
WP_003514554.1	ATP-dependent DNA helicase(0.448811384057)
WP_003517625.1	glutamate ligase [Ruminiclostridium thermocellum](0.512474574893)
WP_003517592.1	Xaa-Pro aminopeptidase(0.564864685628)
WP_003517147.1	Late competence development protein ComFB(0.787901086688)
WP_003520705.1	Iron-sulfur cluster loop(0.872020446855)
WP_003515026.1	Dihydroxy-acid dehydratase(0.633946711824)
WP_003513126.1	Citramalate synthase(0.554465745966)
WP_003517982.1	Flagellar biosynthetic protein FlhB(0.604411802039)
WP_003515869.1	Oligosaccharide amylase(0.802787320255)
WP_003518779.1	Stage III sporulation protein AA(0.786087072801)
WP_003520684.1	Toxin secretion/phage lysis holin(0.600485355985)
WP_003514573.1	ATP phosphoribosyltransferase(0.578396147507)
WP_003517177.1	Transcriptional regulator YvhJ(0.399977416548)
WP_003518814.1	CheA signal transduction histidine kinases(0.539364661399)
WP_003517984.1	Flagellar biosynthetic protein FlhF(0.665755375207)
WP_003520235.1	Methylase/methyltransferase(0.337413219581)
ADU75551.1	Cypemycin methyltransferase(0.341419940815)
WP_003518083.1	glycosyltransferase family 2 protein, partial [Ruminiclostridium thermocellum](0.264512869387)
WP_003514575.1	Histidinol dehydrogenase(0.546342209842)
WP_003513122.1	RNA polymerase sigma factor SigI(0.703361739666)
WP_003513104.1	Glutamate-1-semialdehyde 2,1-aminomutase(0.482419117041)
WP_003513615.1	NAD dependent epimerase/dehydratase family protei n(0.506189533537)
WP_003516767.1	IMPACT family member YigZ(0.586411262626)
WP_003517752.1	DUF438 domain-containing protein(0.424345473226)
WP_003518769.1	Stage III sporulation protein AF(0.601224993287)
WP_003517204.1	Anthranilate phosphoribosyltransferase(0.533531718819)
WP_003513404.1	Glycosyl transferase(0.311550690636)
WP_003516281.1	Spermidine Putrescine ABC transporter permease component potC(0.49126485729)
WP_003515719.1	Spore coat protein SA(0.534674634972)
WP_003521649.1	NAD-dependent aldehyde dehydrogenase(0.408971412209)
WP_003514503.1	Protein-glutamate methylesterase/protein-glutamine glutaminase(0.615859855095)
WP_003515717.1	Spore coat protein CotS(0.609219859616)
WP_003516322.1	Peptidoglycan-binding lysin domain-containing protein(0.365623996665)
WP_003512687.1	Putative heavy metal-binding protein(0.822694751518)
WP_003518775.1	Stage III sporulation protein AC(0.788349232892)
WP_003517832.1	Helix-turn-helix type 11 domain protein(0.521115954154)
WP_003516302.1	Flagellar biosynthesis protein FlhB(0.425928882194)
WP_003515756.1	fimbrial protein [Ruminiclostridium thermocellum](0.416727605956)
WP_003517507.1	Ribosomal protein L28(0.598829052769)
WP_003516320.1	Signal recognition particle associated protein(0.787229582127)
WP_003517588.1	ABC transporter(0.348117064226)
WP_003520372.1	Dihydroorotate dehydrogenase electron transfer subunit(0.660526525713)
WP_003515501.1	Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase(0.636874921216)
WP_003517436.1	Ribosomal silencing factor RsfS(0.548950203167)
WP_003517088.1	UDP-glucose 6-dehydrogenase(0.463823303499)
WP_003517249.1	Deoxyguanosinetriphosphate triphosphohydrolase(0.65889484703)
WP_003517657.1	Small ribosomal subunit biogenesis GTPase RsgA(0.507142971412)
WP_003515357.1	Sporulation VanW like protein YoaR(0.553711522546)
WP_003516310.1	Ribosome biogenesis GTPase YlqF(0.659689290106)
WP_003517800.1	DNA-binding domain-containing protein, AraC-type(0.406464056185)
WP_003515758.1	Type II secretion system protein(0.379385530631)
WP_003515507.1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(0.631582026548)
WP_003514463.1	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic component(0.353527413292)
WP_003516644.1	Spore germination protein GerKA(0.558850726201)
WP_003513400.1	UDP-N-acetyl-D-galactosamine dehydrogenase(0.648004997621)
WP_003517491.1	Trp RNA-binding attenuation protein MtrB(0.796699088781)
WP_003516698.1	Abortive infection protein, putative(0.45243619534)
WP_003511587.1	Adenylosuccinate synthetase(0.503952468268)
WP_003518767.1	Stage III sporulation protein AG(0.549276835649)
WP_003518120.1	O-antigen polymerase(0.615439235481)
WP_003517206.1	Para-aminobenzoate synthase glutamine amidotransferase component II(0.468322586678)
WP_003516314.1	Ribosome maturation factor RimM(0.477156741515)
WP_003513402.1	Glycosyltransferase(0.347498186831)
WP_003512615.1	Histidinol-phosphatase(0.787819006569)
WP_003512983.1	Low molecular weight protein-tyrosine-phosphatase YwlE(0.534665240691)
WP_003515841.1	ATP-binding cassette, subfamily F, member 3(0.38170268227)
WP_003515281.1	Cellulose binding domain-containing protein,dockerin-like protein(0.386426129902)
WP_003518593.1	Ribonuclease III(0.527924412035)
WP_003513278.1	Cyclic lactone autoinducer peptide(0.509081770366)
WP_003518136.1	DUF218 domain-containing protein(0.576770303504)
WP_003517208.1	Anthranilate synthase(0.535659583809)
WP_003517778.1	Pyridoxamine 5'-phosphate oxidase(0.35401282219)
WP_003517457.1	5-(Carboxyamino)imidazole ribonucleotide mutase(0.556922139434)
WP_003515764.1	Type IV pilus twitching motility protein PilT(0.492246341244)
WP_003516351.1	DNA mismatch repair protein MutS(0.510120994213)
WP_003515515.1	Ribosomal RNA small subunit methyltransferase H(0.484732309866)
WP_003517159.1	HAD superfamily (Subfamily IIIA) phosphatase, TIGR01668(0.785812405957)
WP_003519332.1	Glycosyltransferase 28 domain-containing protein(0.496937753881)
WP_003518444.1	endo-1,4-beta-xylanase Z [Ruminiclostridium thermocellum](0.357129909349)
WP_003512300.1	Beta-glucanase(0.694478154716)
WP_003518745.1	1-deoxy-D-xylulose-5-phosphate synthase(0.652476168266)
WP_003515762.1	Type II secretion system protein F(0.384755210864)
WP_003517776.1	Methyl-accepting chemotaxis sensory transducer(0.316172807516)
WP_003519149.1	4-hydroxy-tetrahydrodipicolinate reductase(0.757574381233)
WP_003515855.1	ATPases with chaperone activity, ATP-binding subunit(0.41317933874)
WP_003518743.1	Hemolysin A(0.494082885377)
WP_003512320.1	Nitroimidazole resistance protein NimA(0.464881475773)
WP_003515873.1	DNA integrity scanning protein DisA(0.774673012941)
ADU73572.1	LuxR family transcriptional regulator(0.405159573612)
WP_003514181.1	Cell division protein ZapA(0.519680343961)
WP_003515871.1	DNA repair protein RadA(0.535611903327)
WP_003514861.1	Energy-conserving hydrogenase(0.843058371287)
WP_003512374.1	Transcriptional repressor SmtB(0.373311519311)
WP_003517214.1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase(0.526414734316)
WP_003515511.1	Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)(0.50226896998)
WP_003512229.1	Flavin-dependent dehydrogenase(0.455091257071)
WP_003515405.1	Type IV pilus biogenesis protein PilM(0.515053933176)
WP_003514440.1	CoF synthetase(0.626808886749)
WP_003513527.1	Predicted prephenate dehydratase(0.58829746975)
WP_003514223.1	ABC transporter permease(0.375196629594)
WP_003519255.1	Helicase-exonuclease AddAB subunit AddB(0.730274404777)
WP_003512892.1	Aminotransferase in exopolysaccharide biosynthesis(0.485302104244)
WP_003519151.1	D-alanyl-D-alanine carboxypeptidase DacB(0.339873086857)
WP_003516591.1	5-methyltetrahydrofolate--homocysteine methyltransferase(0.648259535015)
ADU73719.1	Universal stress protein UspA(0.535112955858)
WP_003517607.1	ABC-type Mn2+/Zn2+ transport systems permease components(0.484135563761)
WP_003518898.1	50S ribosomal protein L35(0.543189811539)
WP_003519236.1	L-cystine import ATP-binding protein TcyC(0.481366429842)
WP_003516593.1	Anaerobic ribonucleoside-triphosphate reductase activating protein NrdG(0.492658823049)
WP_003520980.1	Inosine-5'-monophosphate dehydrogenase(0.500517807139)
WP_003513826.1	Carbamoyl-phosphate synthase small chain(0.494594281378)
WP_003511577.1	Hydro-lyase family enzyme, Fe-S type, tartrate/fumarate subfamily(0.656367419007)
WP_003518755.1	Exodeoxyribonuclease VII large subunit(0.514175873853)
WP_003511909.1	Extracellular endo-alpha-(1->5)-L-arabinanase(0.736049022487)
WP_003513535.1	Replicative DNA helicase(0.506537627236)
WP_003516581.1	Type VII secretion protein EssC(0.784639947513)
WP_003512922.1	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ(0.63407814757)
WP_003520797.1	Beta-glucosidase A(0.440026728577)
WP_003511913.1	DUF1538 domain-containing protein [Ruminiclostridium thermocellum](0.731248113929)
WP_003518757.1	Transcription antitermination protein NusB(0.530695502456)
WP_003517659.1	Ribulose-phosphate 3-epimerase(0.454307376319)
WP_003519966.1	Ion-translocating oxidoreductase complex subunit C(0.682530783924)
WP_003512262.1	Type IV pilus biogenesis protein PilM(0.505444391842)
WP_003511915.1	Nitrogen regulatory protein P-II family(0.35714750218)
WP_003513523.1	V-type sodium ATPase subunit K(0.43798961693)
WP_003514859.1	Energy-conserving hydrogenase(0.79177104898)
WP_003518684.1	copper amine oxidase [Ruminiclostridium thermocellum](0.43056208978)
WP_003518007.1	Sodium ion-translocating decarboxylase subunit beta(0.763508671807)
WP_003516278.1	Endoglucanase F(0.608042987712)
WP_003516211.1	Chorismate mutase AroH(0.548704951696)
WP_003513521.1	V-type proton ATPase subunit E(0.701373387821)
WP_003519155.1	DUF362 domain-containing protein(0.537951869983)
WP_003519257.1	ATP-dependent helicase/nuclease subunit A(0.759437042509)
WP_003519135.1	D-amino acid dehydrogenase small subunit(0.388705031627)
WP_003515926.1	Macrolide export ATP-binding/permease protein MacB(0.344845186929)
WP_003517348.1	Nitrogenase iron protein 1(0.784544506094)
WP_003518448.1	Spore cortex-lytic enzyme, lytic transglycosylase SleB(0.78395346793)
WP_003519073.1	ATPase(0.412707239423)
WP_003518749.1	Acid phosphatase/vanadium-dependent haloperoxidase related(0.667065375751)
WP_003516276.1	Multidrug and toxin extrusion efflux pump(0.538315543857)
WP_003518494.1	flagellar hook-associated protein FlgK [Ruminiclostridium thermocellum](0.610588159329)
WP_003517933.1	Inner membrane protein YccF(0.764112951368)
WP_003516520.1	Predicted exonuclease of the beta-lactamase fold involved in RNA processing(0.479521204672)
WP_003516173.1	Ribosomal large subunit pseudouridine synthase B(0.432472299488)
WP_003513047.1	radical SAM protein [Ruminiclostridium thermocellum](0.330350890446)
WP_003519077.1	Dockerin type 1(0.470390615238)
WP_003513533.1	Cyclic-di-AMP phosphodiesterase(0.789009482815)
WP_003517935.1	Exodeoxyribonuclease III Xth(0.514551207439)
ADU74128.1	Hedgehog/intein hint domain protein [Ruminiclostridium thermocellum DSM 1313](0.78549860424)
WP_003515687.1	Endoribonuclease YbeY(0.521972330413)
WP_003516522.1	Proline permease(0.507956862777)
WP_003515853.1	Activator of protein kinase McsB(0.671907517947)
WP_003515604.1	DUF512 domain-containing protein (Fragment)(0.625866902562)
WP_003516200.1	N-acetylmannosamine kinase(0.548319404448)
WP_003513880.1	Calcium-translocating P-type ATPase, SERCA-type(0.466620187232)
WP_003514774.1	4Fe-4S binding domain(0.638282308046)
WP_003511635.1	Predicted glucose-1-phosphate nucleotidyltransferase with a transferase hexapeptide repeat(0.409369262997)
WP_003517389.1	Ubiquinone/menaquinone biosynthesis C-methylase UbiE(0.312047810851)
WP_003519061.1	[FeFe] hydrogenase, group A(0.398105595893)
WP_003519233.1	DNA alkylation repair enzyme(0.57786523206)
WP_003516260.1	Type IV pilus assembly PilZ(0.42026220541)
WP_003512888.1	capsular polysaccharide biosynthesis protein [Ruminiclostridium thermocellum](0.453066753654)
WP_003513808.1	Carboxy-terminal-processing protease CtpA(0.526745183774)
WP_003517395.1	DUF362 domain-containing protein (Fragment)(0.517118754341)
WP_003512050.1	Lon protease(0.56119144474)
WP_003514339.1	Histidinol phosphatase and related hydrolases of the PHP family(0.433570276795)
WP_003516920.1	Isoquinoline 1-oxidoreductase protein(0.741990090609)
WP_003515904.1	Predicted rubrerythrin(0.615400896272)
WP_003516139.1	Predicted SAM dependent methyltransferase(0.385775011376)
WP_003513878.1	Transcriptional regulatory protein WalR(0.429733323263)
WP_003516148.1	Cytosol non-specific dipeptidase(0.766603748923)
WP_003515902.1	Cytoplasmic protein(0.431576364992)
WP_003514757.1	RNA polymerase sigma factor SigI(0.664671032499)
WP_023062381.1	Cyclase family protein (Fragment)(0.370079423699)
WP_003514918.1	RNA polymerase sigma factor(0.328317428652)
WP_003513884.1	MgtC/SapB transporter(0.657683993083)
WP_003515900.1	Endopeptidase La(0.607798592796)
WP_003517040.1	Histidine--tRNA ligase(0.63621450334)
WP_003516144.1	Ribonuclease BN, tRNA processing enzyme(0.386293781362)
WP_003513078.1	ECF RNA polymerase sigma factor SigW(0.289388323236)
WP_003515347.1	Potassium proton antiporter(0.713909457296)
WP_003513886.1	Stage II sporulation protein required for processing of pro-sigma-E (SpoIIR)(0.783461058231)
WP_003517480.1	Glycosyl hydrolase(0.476920856878)
WP_003514857.1	Ech hydrogenase subunit B EchB(0.817279884447)
WP_003511603.1	Diaminopimelate epimerase(0.554952488836)
WP_003512252.1	Crossover junction endodeoxyribonuclease RuvC(0.522862962986)
WP_003519011.1	Endo-1,4-beta-xylanase Y(0.459842115747)
WP_003512179.1	Metal dependent phosphohydrolase(0.494049690053)
WP_003514589.1	60 kDa chaperonin(0.520666838834)
WP_003516540.1	Manganese transport regulator(0.4042739476)
WP_003518265.1	Predicted glycosyltransferase(0.411095834694)
WP_003514855.1	Mnh complex subunit A1(0.400877357269)
WP_003513913.1	Putative beta-barrel protein YwiB(0.844268583937)
WP_003512177.1	Enolase(0.649742584823)
WP_003513646.1	Cyanophycinase CphB(0.787958431791)
WP_003513911.1	Arginine--tRNA ligase(0.634010912945)
WP_003514747.1	ABC-2 transporter permease [Ruminiclostridium thermocellum](0.440045819818)
WP_003512175.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase(0.604723970142)
WP_003511613.1	7-carboxy-7-deazaguanine synthase QueE(0.661293621537)
WP_003515607.1	Ribosomal protein L32p(0.441946618735)
WP_003519198.1	Bacteriophytochrome (Light-regulated signal transduction histidine kinase)(0.361129092681)
WP_003516137.1	Carbohydrate binding family 25(0.790098560117)
WP_003515355.1	Phosphoenolpyruvate-protein phosphotransferase of PTS system(0.314812458985)
WP_003517880.1	Phosphoglycerate kinase(0.482473707453)
WP_003513182.1	Alcohol dehydrogenase(0.413746449813)
WP_003520985.1	Type IV pilus assembly PilZ(0.419224401291)
WP_003516324.1	Transcriptional repressor LexA(0.571378511493)
WP_003514607.1	Anti-sigma-B factor antagonist(0.62406050372)
WP_003517489.1	ATP-dependent 6-phosphofructokinase(0.482988146379)
WP_003512697.1	Replication restart DNA helicase PriA(0.697086697019)
WP_003518658.1	Dihydrodipicolinate synthase(0.595885024763)
WP_003511607.1	CoA-substrate-specific enzyme activase(0.597269373893)
WP_003513166.1	Oligopeptidase PepB(0.616570753405)
WP_003515597.1	Glycerol-3-phosphate dehydrogenase(0.609382046168)
WP_003517623.1	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA(0.44862292106)
WP_003517953.1	ATPase, FliI/YscN family(0.53501465448)
WP_003520557.1	Phytochrome-like protein cph2(0.381614352143)
WP_003516115.1	DUF421 domain-containing protein(0.487929976032)
WP_003514851.1	Citrate synthase(0.52564508752)
WP_003512250.1	Argininosuccinate synthase(0.562275406083)
WP_003513164.1	MazG nucleotide pyrophosphohydrolase(0.567979018607)
WP_003517951.1	flagellar biosynthesis protein [Ruminiclostridium thermocellum](0.480283756215)
WP_003518607.1	Phosphate acyltransferase(0.593441308996)
WP_003511639.1	Alpha-D-kanosaminyltransferase(0.380323229968)
WP_003513141.1	Putative MscS family protein YkuT(0.471931132914)
WP_003518656.1	Aspartate-semialdehyde dehydrogenase(0.628569956754)
WP_003515802.1	Urea ABC transporter ATP-binding protein UrtD(0.329663220801)
WP_003511681.1	Adenosylcobinamide-phosphate guanylyltransferase CobU(0.627185587789)
WP_003514108.1	CRISPR/Cas system CSM-associated protein Csm3, group 7 of RAMP superfamily(0.515742348192)
WP_003513490.1	ABC-type polar amino acid transport system, ATPase component(0.335107124415)
WP_003512900.1	UDP-N-acetyl-D-glucosamine 2-epimerase NeuC(0.542923336708)
WP_003516942.1	Methyl-accepting chemotaxis sensory transducer(0.28589931228)
WP_003519182.1	Endopeptidase, NLPC/P60 domain(0.808990217671)
WP_003518650.1	Queuine tRNA-ribosyltransferase(0.61114654945)
WP_003515588.1	Cell wall hydrolase(0.29336237796)
WP_003512188.1	IreB family regulatory phosphoprotein(0.235517119217)
WP_003513937.1	Thioredoxin(0.290140173761)
WP_003519003.1	ATP-dependent DNA helicase Rep(0.454515093051)
