#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
289;WP_003516091.1 CRISPR-associated endonuclease Cas6 [Hungateiclostridium thermocellum];192;Uncharacterized protein;81.36% [192/236];;;Uniprot (A3DKC1)|Interpro (A3DKC1);KEGG (cth:Cthe_3205)|KEGG GM (cth:Cthe_3205);Interpro (IPR020209)|Interpro (IPR041528)|Pfam (PF17262)|Pfam (PF17955);NCBI (521293787)|EMBL (CP000568);
290;WP_003514246.1 DUF2089 domain-containing protein [Hungateiclostridium thermocellum];122;Uncharacterized protein;100.00% [122/122];;;Uniprot (A3DHA7)|Interpro (A3DHA7);KEGG (cth:Cthe_2131)|KEGG GM (cth:Cthe_2131);Interpro (IPR018658)|Pfam (PF09862);NCBI (489609805)|EMBL (CP000568);
291;WP_003519219.1 hypothetical protein [Hungateiclostridium thermocellum];261;Uncharacterized protein;100.00% [261/261];;;Uniprot (A3DFF1)|Interpro (A3DFF1);KEGG (cth:Cthe_1450)|KEGG GM (cth:Cthe_1450);;NCBI (489614778)|EMBL (CP000568);
292;WP_037294861.1 hypothetical protein [Hungateiclostridium thermocellum];152;Uncharacterized protein;97.44% [152/156];;;Uniprot (A3DJM5)|Interpro (A3DJM5);KEGG (cth:Cthe_2956)|KEGG GM (cth:Cthe_2956);;NCBI (521293705)|EMBL (CP000568);
293;WP_003513990.1 hypothetical protein [Hungateiclostridium thermocellum];109;Uncharacterized protein;100.00% [109/109];;;Uniprot (A3DGW0)|Interpro (A3DGW0);KEGG (cth:Cthe_1971)|KEGG GM (cth:Cthe_1971);Interpro (IPR036689)|Interpro (IPR010310)|Pfam (PF06013);NCBI (489609549)|EMBL (CP000568);
294;WP_014522637.1 hypothetical protein [Hungateiclostridium thermocellum];79;Uncharacterized protein;98.75% [79/80];;;Uniprot (A3DFY6)|Interpro (A3DFY6);KEGG (cth:Cthe_1642)|KEGG GM (cth:Cthe_1642);;NCBI (500163544)|EMBL (CP000568);
295;WP_003514242.1 hypothetical protein [Hungateiclostridium thermocellum];60;Extracellular solute-binding protein family 1;90.91% [60/66];;;Uniprot (A3DHA5)|Interpro (A3DHA5);KEGG (cth:Cthe_2128)|KEGG GM (cth:Cthe_2128);Interpro (IPR006059)|Pfam (PF13416);NCBI (489612259)|EMBL (CP000568);
296;WP_003514912.1 hypothetical protein [Hungateiclostridium thermocellum];259;Uncharacterized protein;100.00% [259/259];GO:0016021 - integral component of membrane;;Uniprot (A3DJR4)|Interpro (A3DJR4);KEGG (cth:Cthe_2997)|KEGG GM (cth:Cthe_2997);;NCBI (489610471)|EMBL (CP000568);
297;WP_003515474.1 hypothetical protein [Hungateiclostridium thermocellum];207;Uncharacterized protein;99.52% [207/208];;;Uniprot (A3DIK5)|Interpro (A3DIK5);KEGG (cth:Cthe_2584)|KEGG GM (cth:Cthe_2584);;NCBI (489608558)|EMBL (CP000568);
298;WP_003518579.1 hypothetical protein [Hungateiclostridium thermocellum];237;Uncharacterized protein;100.00% [237/237];;;Uniprot (A3DDX9)|Interpro (A3DDX9);KEGG (cth:Cthe_0924)|KEGG GM (cth:Cthe_0924);;NCBI (489614138)|EMBL (CP000568);
299;WP_003514726.1 hypothetical protein [Hungateiclostridium thermocellum];110;Uncharacterized protein;100.00% [110/110];;;Uniprot (A3DJM8)|Interpro (A3DJM8);KEGG (cth:Cthe_2960)|KEGG GM (cth:Cthe_2960);;NCBI (489610285)|EMBL (CP000568);
300;WP_037294540.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
301;WP_003514141.1 hypothetical protein [Hungateiclostridium thermocellum];258;Uncharacterized protein;100.00% [258/258];;;Uniprot (A3DH47)|Interpro (A3DH47);KEGG (cth:Cthe_2069)|KEGG GM (cth:Cthe_2069);;NCBI (489609700)|EMBL (CP000568);
302;WP_003518738.1 copper amine oxidase [Hungateiclostridium thermocellum];590;Copper amine oxidase-like domain-containing protein;99.83% [590/591];;;Uniprot (A3DDN0)|Interpro (A3DDN0);KEGG (cth:Cthe_0824)|KEGG GM (cth:Cthe_0824);Interpro (IPR016187)|Interpro (IPR012854)|Interpro (IPR036582)|Interpro (IPR042095)|Pfam (PF07833);NCBI (490598361)|EMBL (CP000568);
303;WP_003516638.1 hypothetical protein [Hungateiclostridium thermocellum];41;Chromosome partitioning protein ParA;41.41% [41/99];;;Uniprot (A0A4Q0I7F7)|Interpro (A0A4Q0I7F7);;;EMBL (RLII01000002);
304;WP_003515423.1 hypothetical protein [Hungateiclostridium thermocellum];105;Uncharacterized protein;67.31% [105/156];;;Uniprot (G8LY27)|Interpro (G8LY27);KEGG (ccl:Clocl_3474)|KEGG GM (ccl:Clocl_3474);;NCBI (504022494)|EMBL (CP003065);
305;WP_003515312.1 YezD family protein [Hungateiclostridium thermocellum];53;Uncharacterized protein;100.00% [53/53];;;Uniprot (A3DJ53)|Interpro (A3DJ53);KEGG (cth:Cthe_2783)|KEGG GM (cth:Cthe_2783);Interpro (IPR018743)|Pfam (PF10055);NCBI (125715490)|EMBL (CP000568);
306;WP_003512278.1 4Fe-4S ferredoxin [Hungateiclostridium thermocellum];141;Iron-sulfur cluster-binding protein;99.30% [141/142];;Nitrate and nitrite ammonification;Uniprot (A3DBW1)|Interpro (A3DBW1);KEGG (cth:Cthe_0199)|KEGG GM (cth:Cthe_0199);Interpro (IPR017896)|Pfam (PF13247);NCBI (125712948)|EMBL (CP000568);
307;WP_003518876.1 hypothetical protein [Hungateiclostridium thermocellum];311;Uncharacterized protein;99.68% [311/312];;;Uniprot (A3DER5)|Interpro (A3DER5);KEGG (cth:Cthe_1212)|KEGG GM (cth:Cthe_1212);;NCBI (500163357)|EMBL (CP000568);
308;WP_003513840.1 hypothetical protein [Hungateiclostridium thermocellum];100;Uncharacterized protein;92.59% [100/108];;;Uniprot (A3DGN8)|Interpro (A3DGN8);KEGG (cth:Cthe_1897)|KEGG GM (cth:Cthe_1897);;NCBI (500163675)|EMBL (CP000568);
309;WP_003511785.1 hypothetical protein [Hungateiclostridium thermocellum];140;Uncharacterized protein;99.29% [140/141];;;Uniprot (A3DKB1)|Interpro (A3DKB1);KEGG (cth:Cthe_3195)|KEGG GM (cth:Cthe_3195);;NCBI (521293783)|EMBL (CP000568);
310;WP_003517679.1 DUF503 domain-containing protein [Hungateiclostridium thermocellum];96;Uncharacterized protein;100.00% [96/96];;CBSS-350688.3.peg.1509|NusA-TFII Cluster;Uniprot (A3DCZ1)|Interpro (A3DCZ1);KEGG (cth:Cthe_0584)|KEGG GM (cth:Cthe_0584);Interpro (IPR007546)|Interpro (IPR036746)|Pfam (PF04456);NCBI (489613238)|EMBL (CP000568);
311;WP_003517254.1 hypothetical protein [Hungateiclostridium thermocellum];90;Uncharacterized protein;100.00% [90/90];GO:0016021 - integral component of membrane;;Uniprot (A3DDV4)|Interpro (A3DDV4);KEGG (cth:Cthe_0899)|KEGG GM (cth:Cthe_0899);;NCBI (489612813)|EMBL (CP000568);
312;WP_003514829.1 PA2169 family four-helix-bundle protein [Hungateiclostridium thermocellum];144;DUF2383 domain-containing protein;100.00% [144/144];;;Uniprot (A3DJV7)|Interpro (A3DJV7);KEGG (cth:Cthe_3040)|KEGG GM (cth:Cthe_3040)|KEGG EC (1.16.3.1);Interpro (IPR019052)|Interpro (IPR012347)|Interpro (IPR009078)|Pfam (PF09537);NCBI (489610388)|EMBL (CP000568);
313;ADU75763.1 hypothetical protein Clo1313_2779 [Hungateiclostridium thermocellum DSM 1313];225;Uncharacterized protein;95.34% [225/236];GO:0016021 - integral component of membrane;;Uniprot (A3DH99)|Interpro (A3DH99);KEGG (cth:Cthe_2121)|KEGG GM (cth:Cthe_2121);;NCBI (489609791)|EMBL (CP000568);
314;WP_003511787.1 DUF1015 domain-containing protein [Hungateiclostridium thermocellum];452;Uncharacterized conserved protein UCP033563;99.78% [452/453];;;Uniprot (A3DKB2)|Interpro (A3DKB2);KEGG (cth:Cthe_3196)|KEGG GM (cth:Cthe_3196);Interpro (IPR008323)|Pfam (PF06245);NCBI (521293784)|EMBL (CP000568);
315;WP_003513844.1 PLP-dependent lyase/thiolase [Hungateiclostridium thermocellum];290;Pyridoxal-5'-phosphate-dependent protein beta subunit;99.66% [290/291];;;Uniprot (A3DGP2)|Interpro (A3DGP2);KEGG (cth:Cthe_1902)|KEGG GM (cth:Cthe_1902);Interpro (IPR001926)|Interpro (IPR036052)|Pfam (PF00291);NCBI (125714629)|EMBL (CP000568);
316;ADU74547.1 hypothetical protein Clo1313_1485 [Hungateiclostridium thermocellum DSM 1313];41;Uncharacterized protein;100.00% [41/41];GO:0016021 - integral component of membrane;;Uniprot (G2JC75)|Interpro (G2JC75);KEGG (cth:Cthe_3328)|KEGG GM (cth:Cthe_3328);;NCBI (345548290)|EMBL (CP000568);
317;ADU73688.1 hypothetical protein Clo1313_0606 [Hungateiclostridium thermocellum DSM 1313];44;Uncharacterized protein;97.78% [44/45];;;Uniprot (A0A2K9E8R3)|Interpro (A0A2K9E8R3);KEGG (hsc:HVS_02085)|KEGG GM (hsc:HVS_02085);;NCBI (1315080923)|EMBL (CP025197);
318;WP_037294459.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
319;WP_003515543.1 YlxR family protein [Hungateiclostridium thermocellum];92;DUF448 domain-containing protein;100.00% [92/92];;CBSS-350688.3.peg.1509|Transcription factors bacterial|NusA-TFII Cluster;Uniprot (A3DE46)|Interpro (A3DE46);KEGG (cth:Cthe_0993)|KEGG GM (cth:Cthe_0993);Interpro (IPR007393)|Interpro (IPR037465)|Interpro (IPR035931)|Pfam (PF04296);NCBI (489611102)|EMBL (CP000568);
320;WP_003518353.1 hypothetical protein [Hungateiclostridium thermocellum];145;HATPase_c_5 domain-containing protein;89.51% [145/162];GO:0016021 - integral component of membrane;;Uniprot (A3DIG8)|Interpro (A3DIG8);KEGG (cth:Cthe_2545)|KEGG GM (cth:Cthe_2545);Interpro (IPR036890)|Interpro (IPR032834)|Pfam (PF14501);NCBI (125715255)|EMBL (CP000568);
321;WP_014522615.1 hypothetical protein [Ruminiclostridium thermocellum];152;Uncharacterized protein;42.58% [152/357];;;Uniprot (A0A2S8REF1)|Interpro (A0A2S8REF1);;Interpro (IPR008969)|Interpro (IPR003961)|Interpro (IPR036116)|Interpro (IPR013783)|Interpro (IPR013378)|Interpro (IPR011050)|Interpro (IPR022409)|Interpro (IPR000601)|Interpro (IPR035986)|Pfam (PF09479)|Pfam (PF00041)|Pfam (PF00801);EMBL (NEMB01000003);
322;WP_003515960.1 MULTISPECIES: hypothetical protein [Firmicutes];178;Uncharacterized protein;100.00% [178/178];;;Uniprot (A0A1H3F910)|Interpro (A0A1H3F910);;;NCBI (489611519)|EMBL (FNNG01000027);
323;ADU73452.1 hypothetical protein Clo1313_0362 [Hungateiclostridium thermocellum DSM 1313];38;Hypothetical membrane spanning protein;97.44% [38/39];;;Uniprot (G2JCE0)|Interpro (G2JCE0);KEGG (cth:Cthe_3411)|KEGG GM (cth:Cthe_3411);;NCBI (345548372)|EMBL (CP000568);
324;WP_003516626.1 zf-TFIIB domain-containing protein [Hungateiclostridium thermocellum];162;zf-TFIIB domain-containing protein;88.52% [162/183];;;Uniprot (A0A4Q0I6U1)|Interpro (A0A4Q0I6U1);;Interpro (IPR027392)|Pfam (PF13453);EMBL (RLII01000002);
325;ADU74482.1 hypothetical protein Clo1313_1420 [Hungateiclostridium thermocellum DSM 1313];57;Uncharacterized protein;100.00% [57/57];;;Uniprot (G2JC76)|Interpro (G2JC76);KEGG (cth:Cthe_3329)|KEGG GM (cth:Cthe_3329);;NCBI (345548291)|EMBL (CP000568);
326;WP_003515881.1 hypothetical protein [Hungateiclostridium thermocellum];103;Uncharacterized protein;100.00% [103/103];GO:0016021 - integral component of membrane;;Uniprot (A3DGC3)|Interpro (A3DGC3);KEGG (cth:Cthe_1781)|KEGG GM (cth:Cthe_1781);;NCBI (125714510)|EMBL (CP000568);
327;WP_003515316.1 hypothetical protein [Hungateiclostridium thermocellum];226;Uncharacterized protein;99.12% [226/228];GO:0016021 - integral component of membrane;;Uniprot (A3DJ51)|Interpro (A3DJ51);KEGG (cth:Cthe_2781)|KEGG GM (cth:Cthe_2781);Interpro (IPR035906);NCBI (489609979)|EMBL (CP000568);
328;WP_003515046.1 hypothetical protein [Hungateiclostridium thermocellum];113;Uncharacterized protein;97.41% [113/116];;;Uniprot (A0A1E3BUZ5)|Interpro (A0A1E3BUZ5);;;NCBI (1061399818)|EMBL (LXSB01000001);
329;WP_003516196.1 hypothetical protein [Hungateiclostridium thermocellum];215;Uncharacterized protein;100.00% [215/215];;;Uniprot (A3DDB0)|Interpro (A3DDB0);KEGG (cth:Cthe_0704)|KEGG GM (cth:Cthe_0704);;NCBI (489611755)|EMBL (CP000568);
330;ADU75314.1 hypothetical protein Clo1313_2285 [Hungateiclostridium thermocellum DSM 1313];152;Uncharacterized protein;79.17% [152/192];;;Uniprot (A3DFM0)|Interpro (A3DFM0);KEGG (cth:Cthe_1521)|KEGG GM (cth:Cthe_1521);;NCBI (500163445)|EMBL (CP000568);
331;ADU75611.1 hypothetical protein Clo1313_2611 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
332;WP_003515559.1 hypothetical protein [Hungateiclostridium thermocellum];66;Uncharacterized protein;100.00% [66/66];;;Uniprot (A3DE55)|Interpro (A3DE55);KEGG (cth:Cthe_1002)|KEGG GM (cth:Cthe_1002);;NCBI (489611118)|EMBL (CP000568);
333;WP_003512336.1 hypothetical protein [Hungateiclostridium thermocellum];276;Uncharacterized protein;54.22% [276/509];;;Uniprot (A0A084JJZ2)|Interpro (A0A084JJZ2);;Interpro (IPR005502)|Interpro (IPR036705)|Pfam (PF03747);NCBI (740450958)|EMBL (JPME01000018);
334;ADU74616.1 hypothetical protein Clo1313_1554 [Hungateiclostridium thermocellum DSM 1313];43;Uncharacterized protein;79.63% [43/54];GO:0016021 - integral component of membrane;;Uniprot (W4V944)|Interpro (W4V944);;;EMBL (BAVR01000035);
335;WP_003516379.1 hypothetical protein [Hungateiclostridium thermocellum];422;Uncharacterized protein;100.00% [422/422];GO:0016021 - integral component of membrane;;Uniprot (A3DDJ9)|Interpro (A3DDJ9);KEGG (cth:Cthe_0793)|KEGG GM (cth:Cthe_0793);Interpro (IPR032681)|Pfam (PF12700);NCBI (489611938)|EMBL (CP000568);
336;WP_003518661.1 hypothetical protein [Hungateiclostridium thermocellum];152;Amino acid-binding ACT domain protein;100.00% [152/152];;;Uniprot (A3DE19)|Interpro (A3DE19);KEGG (cth:Cthe_0964)|KEGG GM (cth:Cthe_0964);;NCBI (489614220)|EMBL (CP000568);
337;WP_003511555.1 transglutaminase domain-containing protein [Hungateiclostridium thermocellum];280;Transglutaminase domain-containing protein;100.00% [280/280];;;Uniprot (A3DJZ8)|Interpro (A3DJZ8);KEGG (cth:Cthe_3081)|KEGG GM (cth:Cthe_3081);Interpro (IPR038765)|Interpro (IPR002931)|Pfam (PF01841);NCBI (489607114)|EMBL (CP000568);
338;WP_003516564.1 hypothetical protein [Hungateiclostridium thermocellum];325;Uncharacterized protein;100.00% [325/325];GO:0016021 - integral component of membrane;;Uniprot (A3DD36)|Interpro (A3DD36);KEGG (cth:Cthe_0630)|KEGG GM (cth:Cthe_0630);;NCBI (489612123)|EMBL (CP000568);
339;WP_003511557.1 hypothetical protein [Hungateiclostridium thermocellum];93;Uncharacterized protein;100.00% [93/93];;;Uniprot (A3DK00)|Interpro (A3DK00);KEGG (cth:Cthe_3083)|KEGG GM (cth:Cthe_3083);;NCBI (489607116)|EMBL (CP000568);
340;WP_003516194.1 hypothetical protein [Hungateiclostridium thermocellum];80;Uncharacterized protein;100.00% [80/80];;;Uniprot (A3DDA9)|Interpro (A3DDA9);KEGG (cth:Cthe_0703)|KEGG GM (cth:Cthe_0703);;NCBI (489611753)|EMBL (CP000568);
341;WP_003516560.1 hypothetical protein [Hungateiclostridium thermocellum];278;Uncharacterized protein;100.00% [278/278];;;Uniprot (A3DD34)|Interpro (A3DD34);KEGG (cth:Cthe_0628)|KEGG GM (cth:Cthe_0628);Interpro (IPR027417);NCBI (489612119)|EMBL (CP000568);
342;ADU74990.1 hypothetical protein Clo1313_1943 [Hungateiclostridium thermocellum DSM 1313];34;Uncharacterized protein;97.14% [34/35];GO:0016021 - integral component of membrane;;Uniprot (G2JC63)|Interpro (G2JC63);KEGG (cth:Cthe_3306)|KEGG GM (cth:Cthe_3306);;NCBI (345548276)|EMBL (CP000568);
343;WP_003513951.1 carbohydrate ABC transporter substrate-binding protein [Hungateiclostridium thermocellum];445;Extracellular solute-binding protein family 1;99.78% [445/446];;;Uniprot (A3DGU6)|Interpro (A3DGU6);KEGG (cth:Cthe_1957)|KEGG GM (cth:Cthe_1957);Interpro (IPR006059)|Pfam (PF13416);NCBI (521293402)|EMBL (CP000568);
344;WP_003514797.1 hypothetical protein [Hungateiclostridium thermocellum];185;Uncharacterized protein;100.00% [185/185];;;Uniprot (A3DJX0)|Interpro (A3DJX0);KEGG (cth:Cthe_3053)|KEGG GM (cth:Cthe_3053);;NCBI (489610356)|EMBL (CP000568);
345;WP_003518399.1 hypothetical protein [Hungateiclostridium thermocellum];4616;Ig domain protein group 2 domain protein;99.78% [4616/4626];;;Uniprot (A3DBG8)|Interpro (A3DBG8);KEGG (cth:Cthe_0056)|KEGG GM (cth:Cthe_0056);Interpro (IPR003343)|Interpro (IPR008964)|Interpro (IPR001119)|Pfam (PF02368)|Pfam (PF00395);NCBI (125712805)|EMBL (CP000568);
346;ADU74243.1 hypothetical protein Clo1313_1179 [Hungateiclostridium thermocellum DSM 1313];39;Uncharacterized protein;100.00% [39/39];;;Uniprot (G2JC83)|Interpro (G2JC83);KEGG (cth:Cthe_3336)|KEGG GM (cth:Cthe_3336);;NCBI (345548299)|EMBL (CP000568);
347;WP_003511976.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];266;Copper amine oxidase-like domain-containing protein;98.88% [266/269];;;Uniprot (A3DBF9)|Interpro (A3DBF9);KEGG (cth:Cthe_0047)|KEGG GM (cth:Cthe_0047);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (500163072)|EMBL (CP000568);
348;WP_003515210.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];64;Uncharacterized protein;100.00% [64/64];;;Uniprot (G2JCB4)|Interpro (G2JCB4);KEGG (cth:Cthe_3377)|KEGG GM (cth:Cthe_3377);;NCBI (489610769)|EMBL (CP000568);
349;WP_003517834.1 ClbS/DfsB family four-helix bundle protein [Hungateiclostridium thermocellum];181;Uncharacterized protein;100.00% [181/181];;;Uniprot (A3DFG6)|Interpro (A3DFG6);KEGG (cth:Cthe_1466)|KEGG GM (cth:Cthe_1466);Interpro (IPR034660)|Interpro (IPR012550)|Pfam (PF08020);NCBI (489613393)|EMBL (CP000568);
350;WP_003517280.1 DUF2339 domain-containing protein [Hungateiclostridium thermocellum];841;Uncharacterized protein;99.64% [841/844];GO:0016021 - integral component of membrane;;Uniprot (A3DDW9)|Interpro (A3DDW9);KEGG (cth:Cthe_0914)|KEGG GM (cth:Cthe_0914);Interpro (IPR019286)|Pfam (PF10101);NCBI (500163257)|EMBL (CP000568);
351;WP_003518610.1 hypothetical protein [Hungateiclostridium thermocellum];166;Uncharacterized protein;100.00% [166/166];;;Uniprot (A3DDZ4)|Interpro (A3DDZ4);KEGG (cth:Cthe_0939)|KEGG GM (cth:Cthe_0939);Interpro (IPR011042);NCBI (489614169)|EMBL (CP000568);
352;WP_003512018.1 hypothetical protein [Hungateiclostridium thermocellum];158;Uncharacterized protein;100.00% [158/158];GO:0016021 - integral component of membrane;;Uniprot (A3DBH8)|Interpro (A3DBH8);KEGG (cth:Cthe_0066)|KEGG GM (cth:Cthe_0066);;NCBI (489607577)|EMBL (CP000568);
353;WP_003518612.1 hypothetical protein [Hungateiclostridium thermocellum];141;Uncharacterized protein;96.58% [141/146];GO:0016021 - integral component of membrane;;Uniprot (A3DDZ5)|Interpro (A3DDZ5);KEGG (cth:Cthe_0940)|KEGG GM (cth:Cthe_0940);;NCBI (500163263)|EMBL (CP000568);
354;WP_003515999.1 MULTISPECIES: terminase [Bacteria];183;Phage terminase small subunit;100.00% [183/183];;;Uniprot (A0A2K9EKN4)|Interpro (A0A2K9EKN4);KEGG (hsc:HVS_13480)|KEGG GM (hsc:HVS_13480);Interpro (IPR006448)|Pfam (PF05119);NCBI (1315083112)|EMBL (NEMB01000003);
355;WP_003516568.1 hypothetical protein [Hungateiclostridium thermocellum];71;Uncharacterized protein;100.00% [71/71];GO:0016021 - integral component of membrane;;Uniprot (G2JC70)|Interpro (G2JC70);KEGG (cth:Cthe_3321)|KEGG GM (cth:Cthe_3321);;NCBI (489612127)|EMBL (CP000568);
356;WP_003521384.1 hypothetical protein [Hungateiclostridium thermocellum];106;Uncharacterized protein;32.22% [106/329];;;Uniprot (A0A285BD46)|Interpro (A0A285BD46);;Interpro (IPR011335);EMBL (LT906662);
357;WP_003512811.1 hypothetical protein [Hungateiclostridium thermocellum];204;Uncharacterized protein;89.87% [204/227];GO:0016021 - integral component of membrane;;Uniprot (A3DIV3)|Interpro (A3DIV3);KEGG (cth:Cthe_2683)|KEGG GM (cth:Cthe_2683);;NCBI (125715390)|EMBL (CP000568);
358;WP_003520193.1 hypothetical protein [Hungateiclostridium thermocellum];89;Uncharacterized protein;98.89% [89/90];;;Uniprot (A3DER6)|Interpro (A3DER6);KEGG (cth:Cthe_1213)|KEGG GM (cth:Cthe_1213);;NCBI (490598581)|EMBL (CP000568);
359;WP_003514338.1 DUF402 domain-containing protein [Hungateiclostridium thermocellum];156;DUF402 domain-containing protein;100.00% [156/156];;;Uniprot (A3DJ16)|Interpro (A3DJ16);KEGG (cth:Cthe_2746)|KEGG GM (cth:Cthe_2746);Interpro (IPR007295)|Interpro (IPR035930)|Pfam (PF04167);NCBI (489609897)|EMBL (CP000568);
360;WP_003514112.1 hypothetical protein [Hungateiclostridium thermocellum];313;Uncharacterized protein;100.00% [313/313];;;Uniprot (A3DH34)|Interpro (A3DH34);KEGG (cth:Cthe_2056)|KEGG GM (cth:Cthe_2056);;NCBI (489609671)|EMBL (CP000568);
361;ADU75111.1 hypothetical protein Clo1313_2070 [Hungateiclostridium thermocellum DSM 1313];73;Uncharacterized protein;98.65% [73/74];;;Uniprot (G2JC59)|Interpro (G2JC59);KEGG (cth:Cthe_3301)|KEGG GM (cth:Cthe_3301);;NCBI (345548272)|EMBL (CP000568);
362;WP_003516029.1 MULTISPECIES: phage tail protein [Clostridia];199;Phage major tail protein phi13 family;100.00% [199/199];;;Uniprot (A0A1M6EQ84)|Interpro (A0A1M6EQ84);;Interpro (IPR006490);EMBL (FQZP01000013);
363;WP_003514110.1 hypothetical protein [Hungateiclostridium thermocellum];639;GGDEF domain-containing protein;100.00% [639/639];;CRISP Cmr Cluster;Uniprot (A3DH33)|Interpro (A3DH33);KEGG (cth:Cthe_2055)|KEGG GM (cth:Cthe_2055);Interpro (IPR000160);NCBI (489609669)|EMBL (CP000568);
364;WP_003516078.1 hypothetical protein [Hungateiclostridium thermocellum];129;CRISPR/Cas system CSM-associated protein Csm3 group 7 of RAMP superfamily;58.37% [129/221];;;Uniprot (A0A285BC94)|Interpro (A0A285BC94);;;EMBL (LT906662);
365;WP_003513016.1 hypothetical protein [Hungateiclostridium thermocellum];69;Uncharacterized protein;100.00% [69/69];;;Uniprot (G2JCD5)|Interpro (G2JCD5);KEGG (cth:Cthe_3406)|KEGG GM (cth:Cthe_3406);;NCBI (489608575)|EMBL (CP000568);
366;WP_003515784.1 hypothetical protein [Hungateiclostridium thermocellum];42;Uncharacterized protein;38.53% [42/109];;;Uniprot (A3DGH1)|Interpro (A3DGH1);KEGG (cth:Cthe_1829)|KEGG GM (cth:Cthe_1829);;NCBI (125714558)|EMBL (CP000568);
